model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,stop_model,target_mode,target_model,dol_priority,dol_target_type,dol_source,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,tp1_price,tp2_price,final_target,rr_to_target,logical_invalidation_model,logical_invalidation_price,partial_close_fraction,be_trigger_r,moved_to_be,exit_reason,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,target_reached_before_entry,session_window,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,pd_array_type,pd_array_age_bars,p_d_value,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,displacement_factor,body_ratio,range_expansion,breach_displacement_grade,turtle_quality,time_to_confirmation_bars,ltf_trigger_type,fvg_low,fvg_high,fvg_ce,fvg_fill_depth,ifvg_low,ifvg_high,ifvg_ce,ifvg_fill_depth,ifvg_min_retest_depth,source_fvg_age_bars,source_fvg_touches_before_inversion,silver_bullet_min_retest_depth,ob_low,ob_high,breaker_low,breaker_high,poi_retest_count,trigger_to_retest_bars,rejection_body_level,rejection_wick_extreme,current_wick_extreme,rejection_zone_low,rejection_zone_high,rejection_body_sweep_bps,rejection_min_wick_fraction,body_liquidity_sweep,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,tp1_hit,tp2_hit,final_target_hit,logical_invalidated,tp1_r,managed_outcome_r,managed_exit_reason,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
silver_bullet,ict,long,BTCUSDT,15m,1746258300000,1746258300000,1746280800000,1746259200000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,96243.0,96243.0,96243.0,96074.15139999999,96074.15139999999,96580.69720000002,96411.84860000001,96580.69720000002,96580.69720000002,2.0,,,0.5,1.0,False,sl_hit,168.84860000001208,17.54398761468492,conservative,False,True,False,False,03:00-04:00,2025-05-03 03:45,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,96235.4,96243.0,96239.2,19.68421052630148,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746259200000,2.0,1,11,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 96243.0, ""entry_time"": 1746259200000, ""exit_reason"": null, ""final_target"": 96580.69720000002, ""fvg_ce"": 96239.2, ""fvg_fill_depth"": 19.68421052630148, ""fvg_high"": 96243.0, ""fvg_low"": 96235.4, ""fvg_ny_time"": ""2025-05-03 03:45"", ""fvg_time"": 1746258300000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-03 03:45"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-03 04:00"", ""retest_time"": 1746259200000, ""risk"": 168.84860000001208, ""risk_bps"": 17.54398761468492, ""rr_to_target"": 2.0, ""session_window"": ""03:00-04:00"", ""signal_ny_time"": ""2025-05-03 03:45"", ""signal_time"": 1746258300000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 96074.15139999999, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 96411.84860000001, ""tp2_price"": 96580.69720000002}",0.7983483428349022,2.5952243607584884,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,short,BTCUSDT,15m,1746367200000,1746367200000,1746368100000,1746367200000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,95405.3,95405.3,95405.3,95582.38106,95582.38106,95051.13788000001,95228.21894,95051.13788000001,95051.13788000001,2.0,,,0.5,1.0,False,sl_hit,177.0810599999968,18.560924812352855,conservative,False,True,False,False,10:00-11:00,2025-05-04 10:00,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,95405.3,95410.0,95407.65,15.17021276596746,,,,,,,,0.15,,,,,,,,,,,,,,,,,2,1746367200000,2.0,1,3,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 95405.3, ""entry_time"": 1746367200000, ""exit_reason"": null, ""final_target"": 95051.13788000001, ""fvg_ce"": 95407.65, ""fvg_fill_depth"": 15.17021276596746, ""fvg_high"": 95410.0, ""fvg_low"": 95405.3, ""fvg_ny_time"": ""2025-05-04 09:30"", ""fvg_time"": 1746365400000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-04 10:00"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-04 10:00"", ""retest_time"": 1746367200000, ""risk"": 177.0810599999968, ""risk_bps"": 18.560924812352855, ""rr_to_target"": 2.0, ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-04 10:00"", ""signal_time"": 1746367200000, ""silver_bullet_fvg_source"": ""first_retest_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 95582.38106, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 2, ""tp1_price"": 95228.21894, ""tp2_price"": 95051.13788000001}",1.1587913467425641,1.3762059025397833,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,short,BTCUSDT,15m,1746429300000,1746429300000,1746453600000,1746430200000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,94592.7,94592.7,94592.7,94797.41854,94797.41854,94183.26292,94387.98146,94183.26292,94183.26292,2.0,,,0.5,1.0,True,tp_hit,204.71854000000167,21.64210768907132,conservative,False,True,False,False,03:00-04:00,2025-05-05 03:15,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,94592.7,94611.0,94601.85,3.1311475409832674,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746430200000,2.0,1,,11,13,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 94592.7, ""entry_time"": 1746430200000, ""exit_reason"": null, ""final_target"": 94183.26292, ""fvg_ce"": 94601.85, ""fvg_fill_depth"": 3.1311475409832674, ""fvg_high"": 94611.0, ""fvg_low"": 94592.7, ""fvg_ny_time"": ""2025-05-05 03:15"", ""fvg_time"": 1746429300000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-05 03:15"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-05 03:30"", ""retest_time"": 1746430200000, ""risk"": 204.71854000000167, ""risk_bps"": 21.64210768907132, ""rr_to_target"": 2.0, ""session_window"": ""03:00-04:00"", ""signal_ny_time"": ""2025-05-05 03:15"", ""signal_time"": 1746429300000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 94797.41854, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 94387.98146, ""tp2_price"": 94183.26292}",3.7011791897304023,0.655045703237258,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
silver_bullet,ict,long,BTCUSDT,15m,1746541800000,1746541800000,1746543600000,1746542700000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,94161.3,94161.3,94161.3,93308.16774,93308.16774,95867.56452,95014.43226,95867.56452,95867.56452,2.0,,,0.5,1.0,True,,853.1322599999985,90.60327969133799,conservative,False,True,False,False,10:00-11:00,2025-05-06 10:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,94157.4,94161.3,94159.35,32.53846153839093,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746542700000,2.0,1,,17,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 94161.3, ""entry_time"": 1746542700000, ""exit_reason"": null, ""final_target"": 95867.56452, ""fvg_ce"": 94159.35, ""fvg_fill_depth"": 32.53846153839093, ""fvg_high"": 94161.3, ""fvg_low"": 94157.4, ""fvg_ny_time"": ""2025-05-06 10:30"", ""fvg_time"": 1746541800000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-06 10:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-06 10:45"", ""retest_time"": 1746542700000, ""risk"": 853.1322599999985, ""risk_bps"": 90.60327969133799, ""rr_to_target"": 2.0, ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-06 10:30"", ""signal_time"": 1746541800000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 93308.16774, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 95014.43226, ""tp2_price"": 95867.56452}",1.1236241377157545,0.15906091747133946,False,False,True,False,False,False,1.0,0.5,partial_open,False,True,False
silver_bullet,ict,long,BTCUSDT,15m,1746603900000,1746603900000,1746626400000,1746604800000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,96824.9,96824.9,96824.9,96486.43502,96486.43502,97501.82995999997,97163.36497999998,97501.82995999997,97501.82995999997,2.0,,,0.5,1.0,False,,338.46497999998974,34.95639861233936,conservative,False,True,False,False,03:00-04:00,2025-05-07 03:45,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,96777.2,96824.9,96801.04999999999,0.4088050314465658,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746604800000,2.0,1,,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 96824.9, ""entry_time"": 1746604800000, ""exit_reason"": null, ""final_target"": 97501.82995999997, ""fvg_ce"": 96801.04999999999, ""fvg_fill_depth"": 0.4088050314465658, ""fvg_high"": 96824.9, ""fvg_low"": 96777.2, ""fvg_ny_time"": ""2025-05-07 03:45"", ""fvg_time"": 1746603900000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-07 03:45"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-07 04:00"", ""retest_time"": 1746604800000, ""risk"": 338.46497999998974, ""risk_bps"": 34.95639861233936, ""rr_to_target"": 2.0, ""session_window"": ""03:00-04:00"", ""signal_ny_time"": ""2025-05-07 03:45"", ""signal_time"": 1746603900000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 96486.43502, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 97163.36497999998, ""tp2_price"": 97501.82995999997}",0.9605129606023515,0.12379419578355035,False,False,False,False,False,False,1.0,0.9605129606023515,open_mark_to_mfe,False,False,False
silver_bullet,ict,long,BTCUSDT,15m,1746628200000,1746628200000,1746630000000,1746629100000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,97257.5,97257.5,97257.5,96725.5485,96725.5485,98321.40299999999,97789.4515,98321.40299999999,98321.40299999999,2.0,,,0.5,1.0,False,sl_hit,531.9514999999956,54.69516489730823,conservative,False,True,False,False,10:00-11:00,2025-05-07 10:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,97255.3,97257.5,97256.4,232.95454545485364,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746629100000,2.0,1,2,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 97257.5, ""entry_time"": 1746629100000, ""exit_reason"": null, ""final_target"": 98321.40299999999, ""fvg_ce"": 97256.4, ""fvg_fill_depth"": 232.95454545485364, ""fvg_high"": 97257.5, ""fvg_low"": 97255.3, ""fvg_ny_time"": ""2025-05-07 10:30"", ""fvg_time"": 1746628200000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-07 10:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-07 10:45"", ""retest_time"": 1746629100000, ""risk"": 531.9514999999956, ""risk_bps"": 54.69516489730823, ""rr_to_target"": 2.0, ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-07 10:30"", ""signal_time"": 1746628200000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 96725.5485, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 97789.4515, ""tp2_price"": 98321.40299999999}",0.017670783896641437,2.8931208954200014,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,long,BTCUSDT,15m,1746714600000,1746714600000,1746716400000,1746715500000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,99440.8,99440.8,99440.8,99030.21184,99030.21184,100261.97632,99851.38816,100261.97632,100261.97632,2.0,,,0.5,1.0,True,tp_hit,410.58815999999933,41.289708047401,conservative,False,True,False,False,10:00-11:00,2025-05-08 10:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,99412.9,99440.8,99426.85,4.756272401432099,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746715500000,2.0,1,,3,3,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 99440.8, ""entry_time"": 1746715500000, ""exit_reason"": null, ""final_target"": 100261.97632, ""fvg_ce"": 99426.85, ""fvg_fill_depth"": 4.756272401432099, ""fvg_high"": 99440.8, ""fvg_low"": 99412.9, ""fvg_ny_time"": ""2025-05-08 10:30"", ""fvg_time"": 1746714600000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-08 10:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-08 10:45"", ""retest_time"": 1746715500000, ""risk"": 410.58815999999933, ""risk_bps"": 41.289708047401, ""rr_to_target"": 2.0, ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-08 10:30"", ""signal_time"": 1746714600000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 99030.21184, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 99851.38816, ""tp2_price"": 100261.97632}",5.46995802314416,0.4288969267891361,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
silver_bullet,ict,long,BTCUSDT,15m,1746774900000,1746774900000,1746799200000,1746777600000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,103414.9,103414.9,103414.9,103070.31702,103070.31702,104104.06595999998,103759.48297999999,104104.06595999998,104104.06595999998,2.0,,,,1.0,False,target_reached_before_entry,344.58297999999195,33.320438350759126,conservative,False,False,False,True,03:00-04:00,2025-05-09 03:15,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,103225.7,103414.9,103320.29999999999,0.37473572938686717,,,,,,,,0.15,,,,,,,,,,,,,,,,,3,1746777600000,2.0,3,,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 103414.9, ""entry_time"": 1746777600000, ""exit_reason"": null, ""final_target"": 104104.06595999998, ""fvg_ce"": 103320.29999999999, ""fvg_fill_depth"": 0.37473572938686717, ""fvg_high"": 103414.9, ""fvg_low"": 103225.7, ""fvg_ny_time"": ""2025-05-09 03:15"", ""fvg_time"": 1746774900000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-09 03:15"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-09 04:00"", ""retest_time"": 1746777600000, ""risk"": 344.58297999999195, ""risk_bps"": 33.320438350759126, ""rr_to_target"": 2.0, ""session_window"": ""03:00-04:00"", ""signal_ny_time"": ""2025-05-09 03:15"", ""signal_time"": 1746774900000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 103070.31702, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 3, ""tp1_price"": 103759.48297999999, ""tp2_price"": 104104.06595999998}",,,False,False,False,False,False,False,,,target_reached_before_entry,False,False,False
silver_bullet,ict,long,BTCUSDT,15m,1746800100000,1746800100000,1746801000000,1746800100000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,103180.6,103180.6,103180.6,102556.16388000001,102556.16388000001,104429.47224,103805.03612,104429.47224,104429.47224,2.0,,,0.5,1.0,False,sl_hit,624.4361199999985,60.518752556197434,conservative,False,True,False,False,10:00-11:00,2025-05-09 10:15,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,103135.5,103180.6,103158.05,13.388026607537139,,,,,,,,0.15,,,,,,,,,,,,,,,,,2,1746800100000,2.0,1,1,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 103180.6, ""entry_time"": 1746800100000, ""exit_reason"": null, ""final_target"": 104429.47224, ""fvg_ce"": 103158.05, ""fvg_fill_depth"": 13.388026607537139, ""fvg_high"": 103180.6, ""fvg_low"": 103135.5, ""fvg_ny_time"": ""2025-05-09 09:45"", ""fvg_time"": 1746798300000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-09 10:15"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-09 10:15"", ""retest_time"": 1746800100000, ""risk"": 624.4361199999985, ""risk_bps"": 60.518752556197434, ""rr_to_target"": 2.0, ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-09 10:15"", ""signal_time"": 1746800100000, ""silver_bullet_fvg_source"": ""first_retest_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 102556.16388000001, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 2, ""tp1_price"": 103805.03612, ""tp2_price"": 104429.47224}",0.24902467205132267,1.5063190130641515,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,short,BTCUSDT,15m,1746801000000,1746801000000,1746802800000,1746801900000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,102976.3,102976.3,102976.3,103767.39526,103767.39526,101394.10948,102185.20474,101394.10948,101394.10948,2.0,,,0.5,1.0,False,,791.0952600000019,76.82304180670717,conservative,False,True,False,False,10:00-11:00,2025-05-09 10:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,102976.3,103238.0,103107.15,0.6637371035536836,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746801900000,2.0,1,,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 102976.3, ""entry_time"": 1746801900000, ""exit_reason"": null, ""final_target"": 101394.10948, ""fvg_ce"": 103107.15, ""fvg_fill_depth"": 0.6637371035536836, ""fvg_high"": 103238.0, ""fvg_low"": 102976.3, ""fvg_ny_time"": ""2025-05-09 10:30"", ""fvg_time"": 1746801000000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-09 10:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-09 10:45"", ""retest_time"": 1746801900000, ""risk"": 791.0952600000019, ""risk_bps"": 76.82304180670717, ""rr_to_target"": 2.0, ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-09 10:30"", ""signal_time"": 1746801000000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 6, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 103767.39526, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 102185.20474, ""tp2_price"": 101394.10948}",0.9307349408211613,0.4548124836445134,False,False,False,False,False,False,1.0,0.9307349408211613,open_mark_to_mfe,False,False,False
