model,model_family,direction,symbol,timeframe,timestamp,setup_timestamp,detected_at,entry_time,entry_mode,stop_mode,stop_model,target_mode,target_model,dol_priority,dol_target_type,dol_source,entry_price,entry_low,entry_high,stop_loss,invalidation,target_hint,tp1_price,tp2_price,final_target,rr_to_target,logical_invalidation_model,logical_invalidation_price,partial_close_fraction,be_trigger_r,moved_to_be,exit_reason,risk,risk_bps,same_bar_policy,same_bar_ambiguous,activated_trade,invalidated_before_entry,target_reached_before_entry,session_window,session_date,session_label,ny_time,htf_mode,htf_bias,htf_location,htf_zone_type,htf_objective_type,htf_context_alignment,htf_score_modifier,pd_array_type,pd_array_age_bars,p_d_value,has_smt_confirmation,smt_direction,smt_pair,smt_strength,decision_score,score_bucket,htf_alignment_score,draw_score,pd_location_score,poi_score,displacement_score,smt_score,killzone_score,target_rr_score,no_trade_reasons,pre_model_filter_pass,pre_model_allowed_directions,pre_model_reasons,htf_inside_poi,htf_approaching_poi,swept_level,sweep_extreme,sweep_liquidity_quality,sweep_level_age_bars,displacement_grade,displacement_factor,body_ratio,range_expansion,breach_displacement_grade,turtle_quality,time_to_confirmation_bars,ltf_trigger_type,fvg_low,fvg_high,fvg_ce,fvg_fill_depth,ifvg_low,ifvg_high,ifvg_ce,ifvg_fill_depth,ifvg_min_retest_depth,source_fvg_age_bars,source_fvg_touches_before_inversion,silver_bullet_min_retest_depth,ob_low,ob_high,breaker_low,breaker_high,poi_retest_count,trigger_to_retest_bars,rejection_body_level,rejection_wick_extreme,current_wick_extreme,rejection_zone_low,rejection_zone_high,rejection_body_sweep_bps,rejection_min_wick_fraction,body_liquidity_sweep,mitigation_low,mitigation_high,time_to_retest_bars,retest_time,target_distance_r,time_to_entry_bars,bars_to_invalidation,bars_to_1r,bars_to_2r,metadata_json,mfe_r,mae_r,invalidated,target_hit,tp1_hit,tp2_hit,final_target_hit,logical_invalidated,tp1_r,managed_outcome_r,managed_exit_reason,target_before_invalidation,hit_1r_before_invalidation,hit_2r_before_invalidation
silver_bullet,ict,short,BTCUSDT,15m,1746165600000,1746165600000,1746167400000,1746166500000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,96706.0,96706.0,96706.0,96904.9412,96904.9412,96308.1176,96507.0588,96308.1176,96308.1176,2.0,,,0.5,1.0,True,tp_hit,198.94120000000112,20.571753562343716,conservative,False,True,False,False,02:00-03:00,2025-05-02,london_open,2025-05-02 02:00,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,96706.0,96730.0,96718.0,1.0,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746166500000,2.0,1,,3,6,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 96706.0, ""entry_time"": 1746166500000, ""exit_reason"": null, ""final_target"": 96308.1176, ""fvg_ce"": 96718.0, ""fvg_fill_depth"": 1.0, ""fvg_high"": 96730.0, ""fvg_low"": 96706.0, ""fvg_ny_time"": ""2025-05-02 02:00"", ""fvg_time"": 1746165600000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-02 02:00"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-02 02:15"", ""retest_time"": 1746166500000, ""risk"": 198.94120000000112, ""risk_bps"": 20.571753562343716, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-02"", ""session_label"": ""london_open"", ""session_window"": ""02:00-03:00"", ""signal_ny_time"": ""2025-05-02 02:00"", ""signal_time"": 1746165600000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 96904.9412, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 96507.0588, ""tp2_price"": 96308.1176}",2.1257537403011133,2.592725890866246,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
silver_bullet,ict,long,BTCUSDT,15m,1746424800000,1746424800000,1746426600000,1746425700000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,94588.0,94588.0,94588.0,94205.5824,94205.5824,95352.8352,94970.4176,95352.8352,95352.8352,2.0,,,0.5,1.0,False,sl_hit,382.4176000000007,40.429821964731325,conservative,False,True,False,False,02:00-03:00,2025-05-05,london_open,2025-05-05 02:00,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,94508.2,94588.0,94548.1,0.7380952380951382,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746425700000,2.0,1,18,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 94588.0, ""entry_time"": 1746425700000, ""exit_reason"": null, ""final_target"": 95352.8352, ""fvg_ce"": 94548.1, ""fvg_fill_depth"": 0.7380952380951382, ""fvg_high"": 94588.0, ""fvg_low"": 94508.2, ""fvg_ny_time"": ""2025-05-05 02:00"", ""fvg_time"": 1746424800000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-05 02:00"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-05 02:15"", ""retest_time"": 1746425700000, ""risk"": 382.4176000000007, ""risk_bps"": 40.429821964731325, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-05"", ""session_label"": ""london_open"", ""session_window"": ""02:00-03:00"", ""signal_ny_time"": ""2025-05-05 02:00"", ""signal_time"": 1746424800000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 94205.5824, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 94970.4176, ""tp2_price"": 95352.8352}",0.49814652882084837,2.5835630996062897,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,long,BTCUSDT,15m,1746541800000,1746541800000,1746543600000,1746542700000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,94161.3,94161.3,94161.3,93308.16774,93308.16774,95867.56452,95014.43226,95867.56452,95867.56452,2.0,,,0.5,1.0,True,tp_hit,853.1322599999985,90.60327969133799,conservative,False,True,False,False,10:00-11:00,2025-05-06,ny_am,2025-05-06 10:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,94157.4,94161.3,94159.35,1.0,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746542700000,2.0,1,,17,32,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 94161.3, ""entry_time"": 1746542700000, ""exit_reason"": null, ""final_target"": 95867.56452, ""fvg_ce"": 94159.35, ""fvg_fill_depth"": 1.0, ""fvg_high"": 94161.3, ""fvg_low"": 94157.4, ""fvg_ny_time"": ""2025-05-06 10:30"", ""fvg_time"": 1746541800000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-06 10:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-06 10:45"", ""retest_time"": 1746542700000, ""risk"": 853.1322599999985, ""risk_bps"": 90.60327969133799, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-06"", ""session_label"": ""ny_am"", ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-06 10:30"", ""signal_time"": 1746541800000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 93308.16774, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 95014.43226, ""tp2_price"": 95867.56452}",2.3342218942699433,0.15906091747133946,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
silver_bullet,ict,long,BTCUSDT,15m,1746598500000,1746598500000,1746600300000,1746599400000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,96468.9,96468.9,96468.9,96248.70622,96248.70622,96909.28756,96689.09378,96909.28756,96909.28756,2.0,,,0.5,1.0,True,tp_hit,220.19378000000142,22.825364443877916,conservative,False,True,False,False,02:00-03:00,2025-05-07,london_open,2025-05-07 02:15,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,96374.8,96468.9,96421.85,0.9128586609989602,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746599400000,2.0,1,,4,6,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 96468.9, ""entry_time"": 1746599400000, ""exit_reason"": null, ""final_target"": 96909.28756, ""fvg_ce"": 96421.85, ""fvg_fill_depth"": 0.9128586609989602, ""fvg_high"": 96468.9, ""fvg_low"": 96374.8, ""fvg_ny_time"": ""2025-05-07 02:15"", ""fvg_time"": 1746598500000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-07 02:15"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-07 02:30"", ""retest_time"": 1746599400000, ""risk"": 220.19378000000142, ""risk_bps"": 22.825364443877916, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-07"", ""session_label"": ""london_open"", ""session_window"": ""02:00-03:00"", ""signal_ny_time"": ""2025-05-07 02:15"", ""signal_time"": 1746598500000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 96248.70622, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 96689.09378, ""tp2_price"": 96909.28756}",4.327097704576381,0.39011092865563063,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
silver_bullet,ict,long,BTCUSDT,15m,1746615600000,1746615600000,1746616500000,1746615600000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,96967.9,96967.9,96967.9,96763.60642,96763.60642,97376.48715999999,97172.19357999999,97376.48715999999,97376.48715999999,2.0,,,0.5,1.0,False,sl_hit,204.29357999999775,21.068165856948305,conservative,False,True,False,False,07:00-08:00,2025-05-07,ny_open,2025-05-07 07:00,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,96903.4,96967.9,96935.65,1.0,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746615600000,2.0,1,9,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 96967.9, ""entry_time"": 1746615600000, ""exit_reason"": null, ""final_target"": 97376.48715999999, ""fvg_ce"": 96935.65, ""fvg_fill_depth"": 1.0, ""fvg_high"": 96967.9, ""fvg_low"": 96903.4, ""fvg_ny_time"": ""2025-05-07 06:45"", ""fvg_time"": 1746614700000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-07 07:00"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-07 07:00"", ""retest_time"": 1746615600000, ""risk"": 204.29357999999775, ""risk_bps"": 21.068165856948305, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-07"", ""session_label"": ""ny_open"", ""session_window"": ""07:00-08:00"", ""signal_ny_time"": ""2025-05-07 07:00"", ""signal_time"": 1746615600000, ""silver_bullet_fvg_source"": ""first_retest_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 96763.60642, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 97172.19357999999, ""tp2_price"": 97376.48715999999}",2.3441754753135857,5.531255558789525,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,long,BTCUSDT,15m,1746628200000,1746628200000,1746630000000,1746629100000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,97257.5,97257.5,97257.5,96725.5485,96725.5485,98321.40299999999,97789.4515,98321.40299999999,98321.40299999999,2.0,,,0.5,1.0,False,sl_hit,531.9514999999956,54.69516489730823,conservative,False,True,False,False,10:00-11:00,2025-05-07,ny_am,2025-05-07 10:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,97255.3,97257.5,97256.4,1.0,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746629100000,2.0,1,2,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 97257.5, ""entry_time"": 1746629100000, ""exit_reason"": null, ""final_target"": 98321.40299999999, ""fvg_ce"": 97256.4, ""fvg_fill_depth"": 1.0, ""fvg_high"": 97257.5, ""fvg_low"": 97255.3, ""fvg_ny_time"": ""2025-05-07 10:30"", ""fvg_time"": 1746628200000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-07 10:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-07 10:45"", ""retest_time"": 1746629100000, ""risk"": 531.9514999999956, ""risk_bps"": 54.69516489730823, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-07"", ""session_label"": ""ny_am"", ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-07 10:30"", ""signal_time"": 1746628200000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 96725.5485, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 97789.4515, ""tp2_price"": 98321.40299999999}",0.06748735552018272,2.8931208954200014,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,long,BTCUSDT,15m,1746714600000,1746714600000,1746716400000,1746715500000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,99440.8,99440.8,99440.8,99030.21184,99030.21184,100261.97632,99851.38816,100261.97632,100261.97632,2.0,,,0.5,1.0,True,tp_hit,410.58815999999933,41.289708047401,conservative,False,True,False,False,10:00-11:00,2025-05-08,ny_am,2025-05-08 10:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,99412.9,99440.8,99426.85,1.0,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746715500000,2.0,1,,3,3,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 99440.8, ""entry_time"": 1746715500000, ""exit_reason"": null, ""final_target"": 100261.97632, ""fvg_ce"": 99426.85, ""fvg_fill_depth"": 1.0, ""fvg_high"": 99440.8, ""fvg_low"": 99412.9, ""fvg_ny_time"": ""2025-05-08 10:30"", ""fvg_time"": 1746714600000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-08 10:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-08 10:45"", ""retest_time"": 1746715500000, ""risk"": 410.58815999999933, ""risk_bps"": 41.289708047401, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-08"", ""session_label"": ""ny_am"", ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-08 10:30"", ""signal_time"": 1746714600000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 99030.21184, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 99851.38816, ""tp2_price"": 100261.97632}",11.84763827578469,0.4288969267891361,False,True,True,True,True,False,1.0,1.5,final_target_hit,True,True,True
silver_bullet,ict,long,BTCUSDT,15m,1746788400000,1746788400000,1746789300000,1746788400000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,103179.2,103179.2,103179.2,102732.26415999999,102732.26415999999,104073.07168000001,103626.13584,104073.07168000001,104073.07168000001,2.0,,,0.5,1.0,False,sl_hit,446.93584000000556,43.31646688479902,conservative,False,True,False,False,07:00-08:00,2025-05-09,ny_open,2025-05-09 07:00,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,103086.8,103179.2,103133.0,1.0,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746788400000,2.0,1,1,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 103179.2, ""entry_time"": 1746788400000, ""exit_reason"": null, ""final_target"": 104073.07168000001, ""fvg_ce"": 103133.0, ""fvg_fill_depth"": 1.0, ""fvg_high"": 103179.2, ""fvg_low"": 103086.8, ""fvg_ny_time"": ""2025-05-09 06:45"", ""fvg_time"": 1746787500000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-09 07:00"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-09 07:00"", ""retest_time"": 1746788400000, ""risk"": 446.93584000000556, ""risk_bps"": 43.31646688479902, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-09"", ""session_label"": ""ny_open"", ""session_window"": ""07:00-08:00"", ""signal_ny_time"": ""2025-05-09 07:00"", ""signal_time"": 1746788400000, ""silver_bullet_fvg_source"": ""first_retest_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 102732.26415999999, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 103626.13584, ""tp2_price"": 104073.07168000001}",1.2699809440209555,2.1014201948986355,True,False,False,False,False,False,1.0,-1.0,sl_hit,False,False,False
silver_bullet,ict,short,BTCUSDT,15m,1746801000000,1746801000000,1746802800000,1746801900000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,102976.3,102976.3,102976.3,103767.39526,103767.39526,101394.10948,102185.20474,101394.10948,101394.10948,2.0,,,0.5,1.0,False,,791.0952600000019,76.82304180670717,conservative,False,True,False,False,10:00-11:00,2025-05-09,ny_am,2025-05-09 10:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,102976.3,103238.0,103107.15,0.6637371035536836,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746801900000,2.0,1,,,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 102976.3, ""entry_time"": 1746801900000, ""exit_reason"": null, ""final_target"": 101394.10948, ""fvg_ce"": 103107.15, ""fvg_fill_depth"": 0.6637371035536836, ""fvg_high"": 103238.0, ""fvg_low"": 102976.3, ""fvg_ny_time"": ""2025-05-09 10:30"", ""fvg_time"": 1746801000000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-09 10:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-09 10:45"", ""retest_time"": 1746801900000, ""risk"": 791.0952600000019, ""risk_bps"": 76.82304180670717, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-09"", ""session_label"": ""ny_am"", ""session_window"": ""10:00-11:00"", ""signal_ny_time"": ""2025-05-09 10:30"", ""signal_time"": 1746801000000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 103767.39526, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 102185.20474, ""tp2_price"": 101394.10948}",0.9307349408211613,0.49260818475893303,False,False,False,False,False,False,1.0,0.9307349408211613,open_mark_to_mfe,False,False,False
silver_bullet,ict,long,BTCUSDT,15m,1746858600000,1746858600000,1746860400000,1746859500000,edge,swing_or_fvg,swing_or_fvg,fixed_r,fixed_r,,,,103582.0,103582.0,103582.0,103086.7836,103086.7836,104572.43280000001,104077.2164,104572.43280000001,104572.43280000001,2.0,,,0.5,1.0,True,sl_hit,495.2164000000048,47.80911741422301,conservative,False,True,False,False,02:00-03:00,2025-05-10,london_open,2025-05-10 02:30,off,,,,,,,,,,,,,,78,high,20,5,5,8,0,0,20,20,,True,"long,short",,,,,,,,,,,,,,,,103461.5,103582.0,103521.75,0.6796680497924829,,,,,,,,0.15,,,,,,,,,,,,,,,,,1,1746859500000,2.0,1,9,2,,"{""be_trigger_r"": 1.0, ""entry_mode"": ""edge"", ""entry_price"": 103582.0, ""entry_time"": 1746859500000, ""exit_reason"": null, ""final_target"": 104572.43280000001, ""fvg_ce"": 103521.75, ""fvg_fill_depth"": 0.6796680497924829, ""fvg_high"": 103582.0, ""fvg_low"": 103461.5, ""fvg_ny_time"": ""2025-05-10 02:30"", ""fvg_time"": 1746858600000, ""htf_mode"": ""off"", ""logical_invalidation_confirmation"": ""body_close"", ""logical_invalidation_model"": null, ""logical_invalidation_price"": null, ""model_family"": ""ict"", ""moved_to_be"": false, ""ny_time"": ""2025-05-10 02:30"", ""partial_close_fraction"": 0.5, ""pre_model_allowed_directions"": ""long,short"", ""pre_model_filter_pass"": true, ""pre_model_reasons"": """", ""retest_ny_time"": ""2025-05-10 02:45"", ""retest_time"": 1746859500000, ""risk"": 495.2164000000048, ""risk_bps"": 47.80911741422301, ""rr_to_target"": 2.0, ""session_date"": ""2025-05-10"", ""session_label"": ""london_open"", ""session_window"": ""02:00-03:00"", ""signal_ny_time"": ""2025-05-10 02:30"", ""signal_time"": 1746858600000, ""silver_bullet_fvg_source"": ""created_in_window"", ""silver_bullet_max_retest_bars"": 1, ""silver_bullet_min_retest_depth"": 0.15, ""silver_bullet_retest_must_occur_within_window"": true, ""silver_bullet_use_ce_invalidation"": false, ""stop_loss"": 103086.7836, ""stop_mode"": ""swing_or_fvg"", ""stop_model"": ""swing_or_fvg"", ""target_mode"": ""fixed_r"", ""target_model"": ""fixed_r"", ""time_to_retest_bars"": 1, ""tp1_price"": 104077.2164, ""tp2_price"": 104572.43280000001}",1.0157175731659838,0.5472355115864446,True,False,True,False,False,False,1.0,0.5,be_after_tp1,False,True,False
